试题类型	知识范畴	题干	试题难度	正确答案	答案			
多选题	专业知识	企业网上银行需要落地处理的交易功能主要包括：_____等。	中	234	跨行转账支付	转账金额超过上限的转账支付	贷款专用账户发生的转账支付	国际业务
多选题	专业知识	企业网上银行对转账支付类交易可以综合考虑资金转出的_____等因素进行相应交易控制。	中	13	账户性质	资金性质	交易限额	交易金额
多选题	专业知识	企业网上银行经办人员在客户申请注册时须向客户进行_____等方面的安全提示。	难	123	证书下载	Ｋ宝使用	密码保管	证书安装
多选题	专业知识	对账单是我行向企业客户提供的记载指定账户约定对账周期期末余额的凭据，其中对账周期分为____、默认四种。	易	234	按日	按月	按季	按年
多选题	专业知识	对账单根据对账单载体的不同，分为____。	易	12	纸质对账单	电子对账单	微信对单账	上门对账
多选题	专业知识	企业将纸质对账方式变更为网上银行对账方式的，可通过____办理。	易	13	银企对账网银签约行	电话银行	企业网银自助变更	微信
多选题	专业知识	企业网银客户申请开通银企对账网银业务须到银企对账网银签约行办理。并提供以下资料：	易	1234	由企业、单位法定代表人（或授权代理人）签章并加盖单位公章的《要素表》	授权代理人办理的需提供《法人授权委托书》原件及复印件。	经办人的有效身份证件原件及复印件	与我行签订《中国农业银行银企对账服务协议》
多选题	专业知识	"银企对账网银签约根据指定账户的____,客户需选择相应的营业网点办理签约业务。"	易	13	签约状态不同	签约状态	对账方式不同	无规定
多选题	专业知识	银企对账网银签约指定账户已签约为其他对账方式，其他对账方式是指____，客户需将对账方式变更为网上银行的，则须到原指定账户签约行签约。	易	234	电话	第三方	上门	客户端
多选题	专业知识	《中国农业银行银企对账服务协议》银行方由网银对账签约行____。	易	13	负责人签章	运营主管	加盖签约行业务专用章	加盖签约行业务办讫章
多选题	专业知识	《中国农业银行银企对账服务协议》企业客户方由单位____。	易	123	单位法定代表人签章	或授权代理人签章	加盖企业公章	加盖企业账务章
多选题	专业知识	个人客户申请注册消息服务业务，须本人到网点办理并提供以下资料：	易	23	代理人有效身份	本人有效身份证件及复印件	注册账户凭证原件	业务申请书
多选题	专业知识	个人消息服务暂停业务。柜员选择“暂停”操作后输入____，刷卡和存折，客户通过密码键盘输入支付密码。	易	12	客户证件类型	证件号码	电话号码	姓名
多选题	专业知识	下列资料中需在企业客户申请批量注册个人消息服务业务时提供的有：	易	1234	待批量注册消息服务业务的个人客户的有效身份证件原件	经申请人本人签字的《批量注册个人消息服务业务明细清单》	待批量注册消息服务业务的个人客户的注册账户凭证原件	待批量注册消息服务业务的个人客户的有效身份证件复印件
多选题	专业知识	企业消息服务业务提供的服务包括____等大类。	中	12	手机短信通知	联网通知	邮件通知	电话通知
多选题	专业知识	关于企业消息服务客户欠费后到柜台手工缴纳服务费，下列表述正确的有：	中	12	缴费只支持现金模式	缴费金额等于欠费金额，不允许部分缴费	可以先缴一部分	可以转账扣收
多选题	专业知识	消息服务动账通知资金收付的通知起点金额一致，____。	中	24	最低为0元	最低为10元	在0元基础上可由客户自行设置	在10元基础上可由客户自行设置
多选题	专业知识	个人消息服务业务维护包括注册信息____换卡等。	中	1234	注销	维护	暂停	恢复
多选题	专业知识	消息服务维护注册信息是指营业网点通过校验____，为客户变更签约手机号码或者动账通知起点金额。	中	13	客户有效身份证件	客户身份证件原件	注册账户凭证原件	注册账户凭证
多选题	专业知识	交易市场费用转出划转的资金主要包括：____、利息收入和代办仓储、运输费用。	中	1234	交易手续费	交收手续费	会员费	违约金
多选题	专业知识	关于电子商务交易市场协助撤单，以下说法正确的有____。	中	13	该交易不支持部分撤单	该交易支持部分撤单	该功能在特约商户（交易市场）所在营业网点实现	由交易方自行操作
多选题	专业知识	关于电子商务交易市场强制划款，以下说法正确的是____。	难	123	需根据法院等国家有权机关的书面判定结果划转	根据规则银行对成交交易扣收的交易手续费不退还	该功能在特约商户所在营业网点实现	银行不操作
多选题	专业知识	关于电子商务交易市场回单管理，下列描述正确的有：	难	1234	个人客户要求所有网点能打印	企业客户（网银客户号的第三位为9）在账户所在行打印	投标交易，向付款方客户提供回单，不向商户提供	通用付款与通用付款确认交易，向本行个人、企业客户提供回单，不向商户提供
多选题	专业知识	商户证书管理指为已在电子商务系统成功注册的商户提供商户证书柜面____服务。	难	123	申请	补办	补打	修改
多选题	专业知识	"电子商务交易交易市场费用转出,该交易需____。"	难	23	无需主管授权	3+0主管授权	打印凭证	不打印凭证
多选题	专业知识	电子商务交易市场协助撤单，关于资金合法性检查，以下选项正确的是____。	难	23	撤销预付货款＝挂单时预交货款－所有已成交部分货款	撤销预付货款＝挂单时预交货款－所有已成交部分预交货款	撤销手续费＝挂单时手续费－所有已成交部分手续费	撤销手续费＝挂单时手续费－所有手续费
多选题	专业知识	电子商务交易市场跨行状态维护该交易____。	难	13	无需主管授权	3+0主管授权	需打印凭证	不需打印凭证
多选题	专业知识	电子商务交易市场跨行状态维护如果选择按照支付序列号查询时，需要输入支付交易序号；如果选择不按照支付序列号查询时，需要输入商户____。	难	12	存管账号	交易状态	账号户名	账户状态
判断题	基础知识	个人电子银行签约不支持手工输入卡号和代理人办理。	易	1				
判断题	基础知识	"可使用存折签约个人电子银行业务，但仅支持支控方式为""凭密""的存折，且存折只能绑定个人网银和开通消息服务。"	难	1				
判断题	基础知识	全渠道签约包括网上银行/掌上银行和短信银行，客户可选择是否启用相关服务。	易	1				
判断题	专业知识	客户的短信银行绑定号码与其安全认证手机号保持一致，若客户修改或注销安全认证手机号，短信银行绑定号码不会与之同步变化，需要手工修改	难	-1				
判断题	专业知识	"全渠道客户设置的""待注册渠道密码""是网上银行/掌上银行的统一登录密码。"	中	1				
判断题	专业知识	新版电子银行个人证书取消两码，通过卡号和密码下载证书	易	1				
判断题	专业知识	网点注册客户和自助注册客户是互斥的，一个客户只可能属于其中的一种。	易	1				
判断题	专业知识	个人网银自助注册客户可设定对外转账/对外支付等交易限额，限额设定的上/下限范围由认证方式和认证工具确定，与绑定账户数量无关。	中	-1				
判断题	专业知识	K令及未写入客户证书信息的空白K宝作为非重要空白凭证管理。	易	1				
判断题	专业知识	个人网上银行交易不纳入全行反洗钱系统和会计监控系统统一监测和处理。	中	-1				
判断题	专业知识	安全认证手机号管理可以办理安全认证手机号注销业务，注销安全认证手机号没有任何前提要求。	难	-1				
判断题	专业知识	经办行可根据当地业务的实际情况，确定是否办理网银撤单业务。	中	1				
判断题	专业知识	个人电子渠道一体化转账落地业务，补录经办行须指定相关人员分别负责补录业务的录入和复核。	易	1				
判断题	专业知识	个人客户需持本人有效身份证件原件和注册账户凭证原件到注册账户开户行办理个人网银转账交易回单打印业务。	中	-1				
判断题	专业知识	证书管理是指营业网点通过校验客户有效身份证件，为已签约电子银行的客户，办理证书查询/补办证书/登记/更换K宝等业务。其中登记新K宝，网银渠道必选，掌银渠道可选。	难	1				
判断题	专业知识	客户开通企业网银的现金管理功能，可以在办理渠道注册业务时开通，也可以在办理维护渠道信息业务时进行开通。	易	1				
判断题	专业知识	注册行为客户办理完成新增操作人员业务后，当日离柜后返回后办理证书业务，无需再次提供申请资料。	中	-1				
判断题	专业知识	柜面为客户办理申请证书、补办证书业务后，打印密码信封后，柜员将密码信封当面交给客户并告知其根据密码信封中的参考号和授权码，并帮助客户将证书下载到空白K宝中。	易	-1				
判断题	专业知识	企业网上银行的代收业务是指客户通过企业网银发起主动扣款交易，从个人或企业结算账户中扣划特定类型的款项，并转入该客户代收账户中的业务。	中	-1				
判断题	专业知识	代收客户因相关原因终止与被代收的个人或企业之间的代收关系，可以向代收账户的开户行申请批量删除代收授权账号。该业务无需经一级分行电子银行部门审批。	易	1				
判断题	专业知识	企业网银操作员登陆信息初始化业务无需提供法定代表人有效身份证件复印件，其他资料的提供、审核、保管以及操作流程比照增加操作人员业务的要求执行。	难	1				
判断题	专业知识	修改企业网上银行代付业务需要提供《中国农业银行网上代付服务协议》。	易	-1				
判断题	专业知识	注册企业网上银行，客户填写的《电子银行业务申请表（企业）》，申请表内容可涂改，但需要企业法定代表人签章。	难	-1				
判断题	专业知识	注册企业网银业务时，对于特殊原因无法提供法定代表人有效身份证件原件的，审核无误后，柜员须在所有留存资料上加盖业务办讫章，在相关资料的复印件上加盖“已与原件核对一致”戳记。	中	-1				
判断题	专业知识	智锐企业网银可以为客户设定相应的单笔免复核限额、日累计免复核限额、单笔复核限额和日累计复核限额等信息。	中	1				
判断题	专业知识	企业渠道注册是指企业客户选择基本银行存款账户的开户行作为办理行，首次申请开通我行企业网上银行渠道服务。	易	-1				
判断题	专业知识	企业网银版本转换包括智博版转换为智锐版和智锐版转换为智博版。	易	1				
判断题	专业知识	企业网上银行柜面业务的申请资料提交至柜面后，企业客户的经办人可以暂时离柜，待业务办理完成后再由经办行通知其在业务办理当日亲自赴我行当面签收业务回单及资料凭证。	难	1				
判断题	专业知识	客户无论通过何种方式发起企业网银的交易功能，均与书面申请具有同等法律效力。	中	-1				
判断题	专业知识	选择网上银行对账方式的，一张网上银行对账单可以对多个账户进行对账。	易	1				
判断题	专业知识	建立对账单是指银企对账网银签约行根据客户与我行签订的对账协议，录入对账账户并约定其对账周期、对账方式的操作。	易	1				
判断题	专业知识	开通银企对账网银业务的客户，需添加／删除对账账号，须到银企对账网银签约行办理。	难	1				
判断题	专业知识	企业将纸质对账方式变更为网上银行对账方式的，必须到银企对账网银签约行办理。	难	-1				
判断题	专业知识	因系统原因造成客户网银对账方式维护不成功的，需重新签约为网银对账方式的，客户可免于提供相关申请资料。	难	1				
判断题	专业知识	凡在我行开立账户（暂不含贷记卡账户）的客户，向我行任一营业网点提出申请，均可注册个人消息服务业务。	中	-1				
判断题	专业知识	个人客户申请注册消息服务业务，代理人应出示代理人身份证原件。	易	-1				
判断题	专业知识	消息服务个人客户如要变更缴费账户，需携带新的缴费账户凭证原件（暂不含贷记卡账户）。	中	1				
判断题	专业知识	不允许使用临时身份证件办理个人消息服务维护、暂停、注销等业务。	易	1				
判断题	专业知识	电子商务交易市场费用转入的商户结算账户只能在网上交易市场支付平台银行端管理系统中的商户账户信息维护中指定。	中	1				
判断题	专业知识	已在电子商务系统成功注册的商户，在客户或授权网点来领取商户证书的两码密码封前，已打印好的两码密码封按重要空白凭证管理。	中	1				
判断题	专业知识	电子商务商户证书生成后有效期为五年，申请的证书两码必须在14天内下载。	易	1				
