试题类型	知识范畴	题干	试题难度	正确答案	答案				
多选题	纸质商业汇票业务	办理银行承兑汇票申请出票交易，中国农业银行信贷管理系统群（三期）（简称“C3”）审批通过，并完成凭证生效处理后。贸易通操作员根据_____等，在纸质商业汇票系统中选择汇票管理菜单下“申请出票”交易，输入C3生成的承兑凭证编号，点击“导入CMS承兑信息”，认真核对从C3提取的电子流数据和文档资料。	难	123	“承兑合同”	“商业汇票银行承兑清单”	C3打印的“批复通知”	银行承兑汇票申请书	
多选题	纸质商业汇票业务	银行承兑汇票承兑业务资料保管要求：_____等文档资料按相关规定专夹保管。	中	1234	汇票第一联	承兑合同	承兑清单	批复通知	
多选题	纸质商业汇票业务	空白银行承兑汇票按《支付结算办法》及“商业汇票相关制度”等规定记载票据信息后，在汇票交付时，汇票第_____联交客户。	中	23	一	二	三	四	
多选题	纸质商业汇票业务	纸质商业汇票系统业务操作时，有双控和单控两种模式选择。双控是指单笔业务需要双人操作、换人复核；单控是指单笔业务仅需一人进行操作。_____等业务应设置双控，实行双人操作、换人复核的处理模式。	中	1234	承兑	汇票登记	抹账	贴现、转贴现	
多选题	纸质商业汇票业务	办理纸质商业汇票的_____等业务时，除按照现行制度进行查询查复外，还可通过纸质商业汇票系统查询票据的相关信息。	易	234	委托收款	贴现	转贴现	质押	
多选题	纸质商业汇票业务	办理纸质商业汇票系统贴现、承兑和收费业务发生差错需要抹账时，经主管审批后，由原操作员本人分别通过“纸质商业汇票”功能模块的“差错处理”菜单中的_____交易处理。	中	123	贴现抹账	承兑抹账	收费抹账	登记抹账	
多选题	纸质商业汇票业务	纸质商业汇票系统转贴现业务包括：_____。	难	1234	买断式转入贴现	买入返售式转入贴现	卖断式转出贴现	卖出回购式转出贴现	
多选题	纸质商业汇票业务	以下关于银行承兑汇票承兑业务收费，说法正确的是_____。	难	1234	办理收费且为单笔收费的，选择相应的单笔待处理收费单后点击“收费”，核对收费信息无误后点击提交。	办理收费且为并笔收费的，勾选多笔对应的待处理收费单（同一客户组织机构代码下）后点击“收费”；核对收费信息无误后点击提交。	办理费用减免的，输入减免金额对已收费用调整后，再按单笔收费的规定打印记账凭证和客户回单	办理费用废除的，删除该笔业务的收费记录即可。	
多选题	纸质商业汇票业务	以商业汇票为质押物的，操作员在纸质商业汇票系统做质押处理的，需注意_____。	难	1234	收到“《质押凭证止付通知书》抵（质）押物出/入库清单”及质押商业汇票时，核对清单记录与质押商业汇票相符	质押商业汇票已按规定经过真伪核验并办理查询查复	汇票背书记载“质押”字样且签章无误	经有关主管审批后通过纸质商业汇票系统作质押处理	
多选题	纸质商业汇票业务	在纸质商业汇票系统办理商业汇票质押的，以下操作流程正确的有_____。	难	24	非托管汇票按出库、质押、入库的流程处理	非托管汇票按登记、质押、入库的流程处理	已托管汇票按登记、质押、入库的流程处理	已托管汇票按出库、质押、入库的流程处理	
判断题	电子商业汇票业务	办理电子商业汇票业务必须按照商业汇票承兑、贴现、转贴现业务管理办法以及商业汇票业务操作手册等制度进行受理、调查、审查和审批。	易	1					
判断题	电子商业汇票业务	撤销已承兑电子商业汇票，操作员需在电子商业汇票系统中点击待处理--待处理账务，输入票据号码或金额查询点击“撤票记账 ”待处理账务进行记账。	中	-1					
判断题	电子商业汇票业务	撤票是指票据的未用退回处理。电子银行承兑汇票撤票后，出票人又申请签发相同内容的电子银行承兑汇票的，应视同一笔新业务处理。	难	1					
判断题	电子商业汇票业务	电子银行承兑汇票C3审批不通过的，需在电子商业汇票系统做删除处理。	难	-1					
判断题	电子商业汇票业务	电子商业汇票系统管理员或产品管理员可以同时兼任产品操作员。	易	-1					
判断题	电子商业汇票业务	电子商业汇票信息以人民银行电子商业汇票系统的记录为准。	易	1					
判断题	电子商业汇票业务	我行电子商业汇票业务支持三种渠道：柜台、网上银行和自助服务终端。	易	-1					
判断题	电子商业汇票业务	电子银行承兑汇票持票人超过提示付款期提示付款的，在做出合理说明后，经办行不得拒绝受理。	易	1					
判断题	电子商业汇票业务	电子商业汇票以人民币为计价单位。	易	1					
判断题	电子商业汇票业务	电子商业汇票的付款人为承兑人。	易	1					
判断题	电子商业汇票业务	电子银行承兑汇票的持票人超过提示付款期提示付款的，经办行应该拒绝受理。	易	-1					
判断题	电子商业汇票业务	追索指持票人为实现自身票据权利，向其前手要求清偿的行为。追索流程完成后，清偿人不得发起再追索。	难	-1					
单选题	电子商业汇票业务	电子商业汇票的付款人为_____。	中	2	出票人	承兑人	保证人	背书人	
单选题	电子商业汇票业务	电子银行承兑汇票和电子商业承兑汇票撤票交易成功后，通过票面信息查询，查看票据状态为_____。	中	1	票据已作废	票据已撤销	票据不存在	待撤票记账	
单选题	电子商业汇票业务	电子商业承兑汇票业务处理业务中，_____可自行通过企业网上银行、银企通互联平台办理出票信息登记，或委托银行为其办理。	难	4	出票人申请签发电子商业承兑汇票	承兑人承兑电子商业承兑汇票	出票人发出提示收票申请	以上都对	
单选题	电子商业汇票业务	电子商业承兑汇票承兑人在收到提示付款请求次日起_____（最后一日遇法定节假日、大额支付系统非营业日、电子商业汇票系统非营业日顺延）未应答的，经办行应按《电子商业汇票业务服务协议》进行处理。	易	3	第1日	第2日	第3日	第4日	
单选题	电子商业汇票业务	电子商业汇票的出票、承兑、背书、贴现、转贴现、再贴现、质押、保证、提示付款、追索、信息查询及其相关业务必须通过_____系统办理。	易	1	电子商业汇票	纸质商业汇票	ABIS	BoEing	
单选题	电子商业汇票业务	电子商业汇票分为电子银行承兑汇票和电子商业承兑汇票。电子银行承兑汇票由银行业金融机构、_____承兑；电子商业承兑汇票由金融机构以外的法人或其他组织承兑。	易	1	财务公司	保险公司	担保公司	国有企业	
单选题	电子商业汇票业务	电子商业汇票以多张商业汇票批量发出背书转让申请的，按_____的流程办理。	中	2	先登记、后发送	先选票、后发送	先查询、后发送	先发送、后选票	
单选题	电子商业汇票业务	电子商业汇票票据行为发起人可对_____票据行为进行撤销。	难	4	自己发起的且已被行为接收方回复的	他人发起的且未被行为接收方回复的	自己发起的且未被行为接收方撤销的	自己发起的且未被行为接收方回复的	
单选题	电子商业汇票业务	电子商业汇票为定日付款票据。付款期限自出票日起，至到期日止，最长不得超过_____。	难	1	1年	3个月	6个月	2年	
单选题	电子商业汇票业务	电子商业汇票已逾提示付款期的，持票人（或与其签有协议的接入行、接入财务公司）在做出说明后仍可向承兑人发出逾期提示付款申请，逾期提示付款可在票据到期日后_____发起。	难	3	6个月内	1年内	2年内	3年内	
单选题	电子商业汇票业务	电子商业汇票在到期日前及提示付款期内，可发起提示付款交易。提示付款期为自票据到期日起_____，最后一日遇法定节假日、大额支付系统非营业日、电子商业汇票系统非营业日顺延。	易	2	三日内	十日内	一个月内	六个月内	
单选题	电子商业汇票业务	"电子商业汇票在哪种状态时，不可以提示付款：_____。
　　　"	难	4	提示收票已签收	转让背书已签收	提示付款已拒付（不可拒付追索）；	提示收票待签收	
单选题	电子商业汇票业务	电子商业汇票追索人可以向多个被追索人发出追索通知，但只能依次_____发起；若为非拒付追索，追索人还需线下向被追索人提供非拒付追索的相关证明。	易	4	一对多	多对多	多对一	一对一	
单选题	电子商业汇票业务	电子银行承兑汇票持票人在提示付款期内提示付款的，承兑行应在收到提示付款请求的_____（遇法定节假日、大额支付系统非营业日、电子商业汇票系统非营业日顺延）付款或拒绝付款。	易	3	当日至迟次日上午	当日	当日至迟次日	当日至迟次日十点前	
单选题	电子商业汇票业务	办理电子商业汇票的_____业务，不需在C3中审批。	中	1	业务签约	转贴现	承兑	贴现	
单选题	电子商业汇票业务	电子银行承兑汇票业务的受理、审查和审批按照_____等规定处理。	易	2	“汇票业务相关制度”	“商业汇票相关制度”	“商业承兑汇票相关制度”	“银行汇票相关制度”	
单选题	电子商业汇票业务	电子商业汇票业务中出质人发出质押申请且对方在电子商业汇票系统中发出质押回复后，通过票据信息查询查看票据状态。同意质押的，票据状态为“_____”；拒绝质押的，票据状态回滚到前一状态。按照约定方式，及时通知客户。	难	3	承兑已签收	质押解除已签收	质押已签收	提示承兑已签收	
单选题	电子商业汇票业务	电子商业汇票经办行应实时接收、处理电子商业汇票信息，并按服务协议或服务申请表约定的方式，将收到的信息于_____通知相关票据当事人。	易	1	当日至迟次日上午	当日至迟次日	当日	次日上午	
单选题	电子商业汇票业务	运营主管或指定专人每日应检查核对电子商业汇票系统业务记账凭证、业务清单的核算是否真实、正确，核对 “贸易通资金划拨中间户”资金往来明细是否正确，该专用账户_____。	难	1	当日余额应为零	当日余额可不为零	月末余额应为零	年末余额应为零	
单选题	电子商业汇票业务	在电子商业汇票为“_____”状态下，质权人可发起解质押申请。	难	3	质押解除已签收	提示收票已签收	质押已签收	背书已签收	
单选题	电子商业汇票业务	追索指持票人为实现自身票据权利，向其_____要求清偿的行为。追索分为拒付追索和非拒付追索。	难	4	背书人	被背书人	付款人	前手	
单选题	电子商业汇票业务	电子商业汇票核算错误或日终“贸易通资金划拨中间户”余额不为零的，运营主管应查明原因，并登记当天_____。	难	2	《柜面服务登记簿》	《运营主管工作日志》	《柜面重要事项登记簿》	《特殊业务登记簿》	
单选题	电子商业汇票业务	电子商业汇票签约，操作员应在电子商业汇票系统中选择_____，点击“新增签约”，依据客户申请资料输入签约客户的信息，核对信息资料无误后点击提交。	易	3	申请出票	业务办理	业务签约	出票签约	
单选题	电子商业汇票业务	电子商业汇票是指_____依托农业银行或他行电子商业汇票系统以数据电文形式制作的，委托付款人在指定日期无条件支付确定金额给收款人或者持票人的票据。  	易	1	出票人	持票人	收款人	付款人	
单选题	电子商业汇票业务	电子商业汇票信息以_____电子商业汇票系统的记录为准。	中	1	人民银行	收款银行	出票银行	各家商业银行	
单选题	电子商业汇票业务	客户申请开办电子商业汇票业务，客户部门应对客户名称、账号、组织机构代码和业务主体类别等基本信息的真实性进行审核，并依据相关规定，与客户签订_____，明确双方的权利和义务。	易	2	网上银行协议	电子商业汇票服务协议	现金管理银企通平台服务协议	电子银行承兑汇票服务协议	
单选题	电子商业汇票业务	电子商业汇票解质押业务中银行作为质权人的，操作员收到业务主管部门提交的有关解质押资料，经主管审核审批后，在电子商业汇票系统中，依次点击_____录入票据号码，核实解质押信息与票据信息无误后，点击提交。	易	1	申请—质押—解质押	申请-质押	申请-解质押	质押—解质押	
单选题	电子商业汇票业务	电子银行承兑汇票持票人委托银行发出提示付款申请的，应向其_____提交加盖其预留银行印鉴的申请表。	中	4	收款行	委托行	出票行	开户行	
单选题	电子商业汇票业务	电子商业汇票已逾提示付款期的，电子银行承兑汇票提示付款可以选择线上清算方式或线下清算方式，若选择_____方式，则承兑人签收时大额支付系统必须为日间处理状态。	易	3	线上和线下清算	线下清算	线上清算	线上或线下清算	
多选题	电子商业汇票业务	客户申请办理电子商业汇票业务的签约；客户申请修改地址、电话等电子商业汇票业务签约信息；客户申请删除电子商业汇票业务的签约，应向其开户行提交以下资料：_____。	中	234	组织机构代码证	填制电子商业汇票业务开通申请表，并加盖其公章	法定代表人（单位负责人）有效身份证件及复印件	授权他人办理的，需出具授权书，并同时提供法定代表人（单位负责人）及被授权人有效身份证件及复印件。	
多选题	电子商业汇票业务	电子银行承兑汇票出票及承兑业务在完成登记出票信息后，需发送待审批票据信息由信贷管理部门在中国农业银行信贷管理系统群（“C3”）中进行审批，以下审批通过后的办理流程正确的是_____。	中	13	按照：资料移交→收取保证金或质押物→发出承兑回复→账务处理→业务收费→提示收票流程办理	按照：资料移交→发出承兑回复→账务处理→收取保证金或质押物→业务收费→提示收票流程办理	发出电子银行承兑汇票的承兑回复实行录入、复核的双人操作模式。	此项业务收费不能减免或废除	
多选题	电子商业汇票业务	_____在电子商业汇票上记载了“不得转让”事项的，电子商业汇票不得继续背书。	中	34	持票人	收款人	出票人	背书人	
多选题	电子商业汇票业务	电子商业汇票处于_____状态下，且“不得转让标志”为“可再转让”的，持票人（背书人）可以将所持有的电子商业汇票背书转让给对手（被背书人）。	难	134	提示收票已签收	已出票	背书已签收	质押解除已签收	
多选题	电子商业汇票业务	电子商业汇票持票人提示付款或逾期提示付款，经办行不得无理拒付。法定拒付理由为：_____。	中	1234	与自己有直接债权债务关系的持票人未履行约定义务	超过提示付款期未说明合理理由	票据未到期	商业承兑汇票承兑人账户余额不足	
多选题	电子商业汇票业务	电子商业汇票处于_____状态下，在票据到期日之前，持票人可以申请办理贴现业务。	难	123	提示收票已签收	背书已签收	质押解除已签收	提示承兑已签收	
多选题	电子商业汇票业务	电子商业汇票的_____业务必须通过电子商业汇票系统办理。	中	1234	出票及承兑	背书	贴现、转贴现、再贴现	质押、保证、提示付款	
多选题	电子商业汇票业务	电子商业汇票在下列状态时，可以提示付款_____。	中	1234	提示收票已签收	转让背书已签收	质押解除已签收	质押已至票据到期日	
多选题	电子商业汇票业务	电子商业汇票是指出票人依托农业银行或他行电子商业汇票系统以数据电文形式制作的，委托付款人在指定日期无条件支付确定的金额给_____或者_____的票据。  	易	14	收款人	出票人	付款人	持票人	
多选题	电子商业汇票业务	客户申请开办电子商业汇票业务，客户部门应对_____等基本信息的真实性进行审核，并依据相关规定，与客户签订电子商业汇票服务协议，明确双方的权利和义务。	中	1234	客户名称	账号	组织机构代码	业务主体类别	
多选题	电子商业汇票业务	农业银行电子商业汇票系统是_____和_____业务管理和处理的应用系统。	易	12	电子银行承兑汇票	电子商业承兑汇票	银行汇票	商业汇票	
多选题	电子商业汇票业务	我行电子商业汇票业务支持_____渠道。	易	123	柜台	网上银行	现金管理银企通平台	自助服务终端	
多选题	电子商业汇票业务	电子商业汇票在_____状态下，出票人不可以发起提示收票申请。	难	134	“提示收票已签收”	“提示承兑已签收”	“提示收票待签收”	“背书转让已签收”	
多选题	电子商业汇票业务	出票人申请签发电子银行承兑汇票，可_____	易	124	自行通过企业网上银行办理出票信息登记	通过银企通互联平台办理出票信息登记	通过自助终端办理	委托银行为其办理	
多选题	电子商业汇票业务	电子商业汇票责任解除前，不得为承兑人办理原电子商业汇票业务的账户销户。以下说法正确的是_____	中	13	对于电子商业承兑汇票，在票据责任解除前不得为承兑人办理账户销户手续；	对于电子银行承兑汇票，在票据责任解除前不得为承兑人办理账户销户手续；	对于电子银行承兑汇票，在票据责任解除前不得为出票人即申请人办理账户销户手续。	对于电子商业承兑汇票，在票据责任解除前不得为出票人即申请人办理账户销户手续。	
多选题	电子商业汇票业务	以下对于“贸易通资金划拨中间户”账户说法正确的是_____。	中	24	该账户日终余额可不为0	该账户日终余额应为0 	核算错误或日终余额不为0的，运营主管应查明原因，不需登记《运营主管工作日志》	核算错误或日终余额不为0的，运营主管应查明原因，并登记《运营主管工作日志》	
多选题	电子商业汇票业务	电子商业承兑汇票承兑人在收到提示付款请求次日起第3日（最后一日遇法定节假日、大额支付系统非营业日、电子商业汇票系统非营业日顺延）未应答的，经办行应按《电子商业汇票业务服务协议》进行以下处理_____。	中	13	承兑人账户余额在该日电子商业汇票系统营业截止时足够支付票款，则视同承兑人同意付款，经办行应扣划承兑人账户资金支付票款，并在下一日（遇法定节假日、电子商业汇票系统非营业日、大额支付系统非营业日顺延）电子商业汇票系统营业开始时代承兑人作出付款回复。	承兑人账户余额在该日电子商业汇票系统营业截止时足够支付票款，则视同承兑人同意付款，经办行应扣划承兑人账户资金支付票款，并当日代承兑人作出付款回复。	承兑人账户余额在该日电子商业汇票系统营业截止时不足以支付票款，则视同承兑人拒绝付款，经办行应在下一日（遇法定节假日、电子商业汇票系统非营业日、大额支付系统非营业日顺延）电子商业汇票系统营业开始时代承兑人作出拒付回复。	承兑人账户余额在该日电子商业汇票系统营业截止时不足以支付票款，则视同承兑人拒绝付款，经办行应当日代承兑人作出拒付回复。	
多选题	电子商业汇票业务	以下关于承兑人回复电子银行承兑汇票提示付款申请的处理，说法正确的有_____。	难	1234	按照：收取待兑付银行承兑汇票款项→回复提示付款申请→账务处理→垫款及后续处理（若有）步骤操作	经办行收到提示付款申请后，对同意付款且资金通过线上清算的，应将扣划的银行承兑汇票款项转入“贸易通资金划拨中间户”专用账户。	回复提示付款申请实行录入、复核的双人操作模式。交易成功后，通过票面信息查询，查询票据状态为“票据已结清”。	账务处理环节，经办行操作员在电子商业汇票系统中依次点击待处理—待处理账务，查询点击“提示付款回复方记账”进行记账。	
多选题	电子商业汇票业务	电子商业汇票在下列状态下可以发起质押申请_____。	难	234	央行买票已签收	提示收票已签收	背书已签收	质押解除已签收	
多选题	电子商业汇票业务	追索指持票人为实现自身票据权利，向其前手要求清偿的行为。追索分为_____。	中	34	到期追索	延期追索	拒付追索	非拒付追索	
多选题	电子商业汇票业务	电子商业汇票系统支持_____。	易	1234	票据历史状态查询	支付信用信息查询	票据流转信息查询	通用业务通知查询	
多选题	电子商业汇票业务	电子商业汇票系统对于_____等到期需要处理的业务自动产生信息提示。	中	1234	质押到期	回购式转贴现到期	票据到期	商业承兑汇票票据款项不足	
